u,v,key,osmid,highway,lanes,maxspeed,oneway,ref,reversed,length,geometry,name,bridge,access,tunnel,junction
83893886,7463666944,0,660071253,tertiary,,,FALSE,,TRUE,130.3801832,"LINESTRING (-73.5224805 41.3838919, -73.5226024 41.3838803, -73.5229829 41.3838483, -73.5230786 41.383839, -73.5231655 41.3838302, -73.5232539 41.3838209, -73.5233395 41.3838117, -73.5234456 41.3837995, -73.5235604 41.3837856, -73.5236776 41.3837698, -73.5237942 41.3837528, -73.5239117 41.3837361, -73.5240256 41.3837196)",Woodland Road,,,,
83893906,94376707,0,"[797191250, 10670030, 797168590]",tertiary,"['4', '2']",,FALSE,,FALSE,712.4921807,"LINESTRING (-73.5179451 41.3856691, -73.5179713 41.3857343, -73.5179933 41.3857924, -73.5180124 41.3858455, -73.5180258 41.3858802, -73.5180418 41.385919, -73.5180594 41.3859568, -73.5180812 41.3859982, -73.518112 41.3860483, -73.5181344 41.3860826, -73.5181693 41.3861276, -73.5182099 41.3861727, -73.5182508 41.3862137, -73.5182964 41.3862572, -73.5183441 41.3862995, -73.5183848 41.3863344, -73.5184358 41.386375, -73.5184903 41.3864151, -73.518553 41.386457, -73.5186183 41.386498, -73.518687 41.3865369, -73.5187571 41.3865736, -73.5188185 41.3866036, -73.5188735 41.3866288, -73.5189344 41.3866551, -73.5189982 41.3866802, -73.5190558 41.3867018, -73.5191209 41.3867238, -73.5191877 41.3867442, -73.519257 41.3867631, -73.5193212 41.3867801, -73.5197483 41.38689, -73.5197742 41.3868967, -73.5200521 41.3869684, -73.5204611 41.3870746, -73.5206499 41.3871234, -73.5207845 41.3871607, -73.5209412 41.3872101, -73.5210876 41.3872624, -73.5212207 41.3873132, -73.521331 41.3873593, -73.521445 41.3874102, -73.5215614 41.3874656, -73.5216885 41.3875291, -73.521798 41.3875869, -73.5219046 41.3876466, -73.5220016 41.3877061, -73.5221139 41.3877796, -73.5222111 41.3878488, -73.5223154 41.3879294, -73.5224098 41.3880067, -73.5225014 41.3880859, -73.5225862 41.3881622, -73.5226568 41.3882294, -73.5227193 41.3882934, -73.5227754 41.3883526, -73.5228269 41.3884111, -73.5228697 41.3884626, -73.5229106 41.3885127, -73.5229481 41.3885605, -73.522994 41.3886203, -73.5230393 41.3886808, -73.5230835 41.3887425, -73.5231163 41.3887899, -73.5231763 41.3888794, -73.5232257 41.3889573, -73.5232604 41.3890138, -73.5232919 41.3890668, -73.5233215 41.3891212, -73.5233469 41.3891772, -73.5233664 41.3892313, -73.523384 41.3892831, -73.5233992 41.3893366, -73.5234131 41.3893906, -73.5234258 41.3894466, -73.5234351 41.3895017, -73.5234428 41.3895609, -73.5234456 41.3896142, -73.5234458 41.3896685, -73.5234427 41.3897252, -73.5234386 41.3897779, -73.5234301 41.3898363, -73.5234188 41.3898913, -73.5234041 41.3899487)",Milestone Road,,yes,,
83893906,7455429490,0,797170104,tertiary,,,TRUE,,FALSE,37.25091771,"LINESTRING (-73.5179451 41.3856691, -73.5179237 41.3855652, -73.517918 41.3855307, -73.5179145 41.3854993, -73.5179159 41.3854721, -73.5179192 41.3854462, -73.5179257 41.3854221, -73.5179361 41.3853988, -73.5179696 41.385343)",Milestone Road,,yes,,
83895700,7401809511,0,"[10173056, 10163572]",residential,2,,FALSE,,FALSE,308.9585064,"LINESTRING (-73.4870198 41.4067714, -73.4872264 41.4067985, -73.4873658 41.4068579, -73.4874931 41.4069519, -73.4875905 41.4070843, -73.4879386 41.4076276, -73.4884463 41.4083327, -73.4886362 41.408613, -73.4888067 41.4088636, -73.4889446 41.4090531)",South King Street,,,,
83895700,7242320658,0,10174181,secondary,2,,FALSE,,FALSE,32.34167327,"LINESTRING (-73.4870198 41.4067714, -73.4871981 41.4067276, -73.4873939 41.4066964)",Franklin Street,,,,
83895700,83989285,0,10174181,secondary,2,,FALSE,,TRUE,649.8030646,"LINESTRING (-73.4870198 41.4067714, -73.4866828 41.4068215, -73.4865973 41.4068342, -73.4861301 41.4069032, -73.485861 41.4069429, -73.4855392 41.4070017, -73.4852757 41.4070636, -73.4851527 41.4070973, -73.4850061 41.4071375, -73.4848411 41.4071777, -73.4847131 41.4072009, -73.4844931 41.4072315, -73.4842504 41.4072587, -73.4836341 41.4073362, -73.4834249 41.4073724, -73.4832881 41.4074005, -73.4831232 41.4074443, -73.4827966 41.4075328, -73.4826223 41.4075655, -73.4824721 41.4075851, -73.4823212 41.4076027, -73.4821858 41.4076123, -73.4820134 41.4076203, -73.4818766 41.4076183, -73.4817298 41.4076123, -73.4813569 41.4075906, -73.4808936 41.407569, -73.4807193 41.407561, -73.4804068 41.4075403, -73.4802512 41.4075318, -73.4801981 41.4075302, -73.4800842 41.4075268, -73.479928 41.4075353, -73.47973 41.4075571, -73.479645 41.4075665, -73.4795686 41.4075725, -73.4794781 41.407568, -73.4793781 41.407559)",Franklin Street,,,,
83896466,83896468,0,10163653,residential,,,FALSE,,FALSE,90.64072582,"LINESTRING (-73.4284705 41.4424888, -73.42893 41.4432276)",Princess Pine Lane,,,,
83896466,83899809,0,10163972,residential,,,FALSE,,FALSE,74.83106965,"LINESTRING (-73.4284705 41.4424888, -73.4276539 41.4427684)",Princess Pine Lane,,,,
83896466,83899807,0,10163972,residential,,,FALSE,,TRUE,55.67191677,"LINESTRING (-73.4284705 41.4424888, -73.4290611 41.442255)",Princess Pine Lane,,,,
83896468,83896466,0,10163653,residential,,,FALSE,,TRUE,90.64072582,"LINESTRING (-73.42893 41.4432276, -73.4284705 41.4424888)",Princess Pine Lane,,,,
