osmid,y,x,street_count,highway,ref,geometry
3244612724,41.3773614,-73.5230389,3,,,POINT (-73.5230389 41.3773614)
3244631434,41.3793147,-73.4976138,3,,,POINT (-73.4976138 41.3793147)
3244631440,41.3784925,-73.4981265,3,,,POINT (-73.4981265 41.3784925)
3244635865,41.3785473,-73.4985834,3,,,POINT (-73.4985834 41.3785473)
3244635933,41.3807767,-73.4983121,3,,,POINT (-73.4983121 41.3807767)
3345909430,41.3962472,-73.4500032,1,,,POINT (-73.4500032 41.3962472)
3347932788,41.3979805,-73.4373703,1,turning_circle,,POINT (-73.4373703 41.3979805)
3459458768,41.3957651,-73.5043498,1,,,POINT (-73.5043498 41.3957651)
3459458782,41.3960114,-73.50349,1,,,POINT (-73.50349 41.3960114)
3459458785,41.4008837,-73.5042242,1,turning_circle,,POINT (-73.5042242 41.4008837)
3459458788,41.3940891,-73.5040146,1,turning_circle,,POINT (-73.5040146 41.3940891)
3459465519,41.3976102,-73.5152613,1,turning_circle,,POINT (-73.5152613 41.3976102)
3459465549,41.398244,-73.5126703,1,turning_circle,,POINT (-73.5126703 41.398244)
3459468522,41.4097709,-73.5215255,1,turning_circle,,POINT (-73.5215255 41.4097709)
3459468569,41.403584,-73.5228005,3,,,POINT (-73.5228005 41.403584)
3459499229,41.4067245,-73.5261217,3,,,POINT (-73.5261217 41.4067245)
3459499250,41.4068229,-73.5205752,1,turning_circle,,POINT (-73.5205752 41.4068229)
3469484244,41.4226923,-73.4072332,1,turning_circle,,POINT (-73.4072332 41.4226923)
3469484247,41.4231204,-73.4082021,1,turning_circle,,POINT (-73.4082021 41.4231204)
3472186461,41.4245575,-73.4580818,3,,,POINT (-73.4580818 41.4245575)
3472186462,41.4246963,-73.4597544,1,,,POINT (-73.4597544 41.4246963)
3472695816,41.4329546,-73.4213128,3,,,POINT (-73.4213128 41.4329546)
3472695823,41.4333613,-73.4223087,3,,,POINT (-73.4223087 41.4333613)
3472695836,41.4341071,-73.4212436,3,,,POINT (-73.4212436 41.4341071)
3525926047,41.4165728,-73.4557378,1,,,POINT (-73.4557378 41.4165728)
3525926054,41.4197346,-73.4575052,3,,,POINT (-73.4575052 41.4197346)
3525926055,41.4205134,-73.45645,3,,,POINT (-73.45645 41.4205134)
3531496560,41.3988044,-73.4377006,1,,,POINT (-73.4377006 41.3988044)
3531497425,41.395229,-73.4330912,1,turning_circle,,POINT (-73.4330912 41.395229)
3531497433,41.3964798,-73.4345043,3,,,POINT (-73.4345043 41.3964798)
3566360476,41.4368278,-73.4501576,1,,,POINT (-73.4501576 41.4368278)
3566360481,41.4386281,-73.4481379,1,,,POINT (-73.4481379 41.4386281)
3566511744,41.4130921,-73.4723147,1,,,POINT (-73.4723147 41.4130921)
3572548793,41.4213509,-73.4455387,1,,,POINT (-73.4455387 41.4213509)
3573157025,41.4274184,-73.4193286,1,,,POINT (-73.4193286 41.4274184)
3573157027,41.4276547,-73.4198491,3,,,POINT (-73.4198491 41.4276547)
3573157029,41.4277877,-73.4200604,3,,,POINT (-73.4200604 41.4277877)
3581232502,41.3768397,-73.4905812,3,,,POINT (-73.4905812 41.3768397)
3581232503,41.3768435,-73.49009,1,,,POINT (-73.49009 41.3768435)
3581232508,41.3773834,-73.4899745,3,,,POINT (-73.4899745 41.3773834)
3581232513,41.3780413,-73.4903855,3,,,POINT (-73.4903855 41.3780413)
3581791286,41.4369703,-73.4484286,1,,,POINT (-73.4484286 41.4369703)
3581791287,41.4373159,-73.4476666,1,,,POINT (-73.4476666 41.4373159)
3583557996,41.4089834,-73.4362522,3,,,POINT (-73.4362522 41.4089834)
3583924518,41.389626,-73.4954303,1,,,POINT (-73.4954303 41.389626)
3584324286,41.3880166,-73.463897,1,,,POINT (-73.463897 41.3880166)
3588007887,41.428604,-73.4292794,3,,,POINT (-73.4292794 41.428604)
3588263902,41.4098946,-73.4318411,1,,,POINT (-73.4318411 41.4098946)
3588263904,41.4099837,-73.4326032,3,,,POINT (-73.4326032 41.4099837)
3589553940,41.4152865,-73.4178537,1,,,POINT (-73.4178537 41.4152865)
3629678070,41.4109368,-73.4328611,3,,,POINT (-73.4328611 41.4109368)
3629678074,41.4112076,-73.4342491,3,,,POINT (-73.4342491 41.4112076)
3629678076,41.4113613,-73.4334942,3,,,POINT (-73.4334942 41.4113613)
3629678078,41.4114522,-73.4329793,3,,,POINT (-73.4329793 41.4114522)
3629678085,41.4125484,-73.4347917,3,,,POINT (-73.4347917 41.4125484)
3633344381,41.4038956,-73.4275159,1,,,POINT (-73.4275159 41.4038956)
3633418265,41.4395325,-73.4481347,1,,,POINT (-73.4481347 41.4395325)
3633418270,41.4403144,-73.4516488,1,,,POINT (-73.4516488 41.4403144)
3633544876,41.4353085,-73.4278155,1,,,POINT (-73.4278155 41.4353085)
3639020851,41.4271663,-73.4368988,3,,,POINT (-73.4368988 41.4271663)
3639020853,41.4289297,-73.437966,1,,,POINT (-73.437966 41.4289297)
3639694129,41.4054677,-73.4053487,1,,,POINT (-73.4053487 41.4054677)
3639880438,41.3905606,-73.4163333,3,,,POINT (-73.4163333 41.3905606)
3642810168,41.4351173,-73.4434626,3,,,POINT (-73.4434626 41.4351173)
3642810172,41.4358397,-73.4454803,1,,,POINT (-73.4454803 41.4358397)
3642822454,41.394276,-73.4349054,1,,,POINT (-73.4349054 41.394276)
3643000539,41.43553,-73.4522137,3,,,POINT (-73.4522137 41.43553)
3643000540,41.4358996,-73.451223,3,,,POINT (-73.451223 41.4358996)
3755306438,41.454735,-73.4243398,3,,,POINT (-73.4243398 41.454735)
3755306439,41.4566392,-73.4254521,1,,,POINT (-73.4254521 41.4566392)
4630196564,41.4219721,-73.4096273,3,,,POINT (-73.4096273 41.4219721)
5222576149,41.3845984,-73.5227834,3,,,POINT (-73.5227834 41.3845984)
5222577081,41.3883005,-73.5291357,3,,,POINT (-73.5291357 41.3883005)
5222577092,41.3873217,-73.5270372,3,,,POINT (-73.5270372 41.3873217)
5222577093,41.3881938,-73.5297572,3,,,POINT (-73.5297572 41.3881938)
5222577099,41.3876611,-73.5295906,1,,,POINT (-73.5295906 41.3876611)
5222577108,41.3885982,-73.5263432,3,,,POINT (-73.5263432 41.3885982)
5222577112,41.3865928,-73.5267467,2,,,POINT (-73.5267467 41.3865928)
5410116120,41.4138531,-73.4198118,1,,,POINT (-73.4198118 41.4138531)
6180014235,41.3811213,-73.5080988,3,,,POINT (-73.5080988 41.3811213)
6180014276,41.4068142,-73.4266019,3,,,POINT (-73.4266019 41.4068142)
6180014703,41.3785957,-73.4780351,1,,,POINT (-73.4780351 41.3785957)
6180014731,41.3835414,-73.5247919,3,,,POINT (-73.5247919 41.3835414)
6180014739,41.3828809,-73.5239911,3,,,POINT (-73.5239911 41.3828809)
6180014745,41.3824585,-73.5235325,3,,,POINT (-73.5235325 41.3824585)
6180014747,41.3823966,-73.5234724,3,,,POINT (-73.5234724 41.3823966)
6180014750,41.3822355,-73.523937,3,,,POINT (-73.523937 41.3822355)
6180015091,41.3977743,-73.4533326,3,,,POINT (-73.4533326 41.3977743)
6180015094,41.4085509,-73.4367044,3,,,POINT (-73.4367044 41.4085509)
6433303696,41.3996196,-73.4300795,3,,,POINT (-73.4300795 41.3996196)
6433303697,41.3997456,-73.4303846,3,,,POINT (-73.4303846 41.3997456)
6678131309,41.430777,-73.447681,3,,,POINT (-73.447681 41.430777)
6678154741,41.4342672,-73.4517147,3,,,POINT (-73.4517147 41.4342672)
6678154742,41.4345916,-73.4507303,1,,,POINT (-73.4507303 41.4345916)
6679495722,41.4384745,-73.450932,3,,,POINT (-73.450932 41.4384745)
6679551398,41.4422685,-73.4505701,1,,,POINT (-73.4505701 41.4422685)
6679551409,41.4446583,-73.4492598,3,,,POINT (-73.4492598 41.4446583)
6679551410,41.4450948,-73.449222,1,,,POINT (-73.449222 41.4450948)
6679598242,41.4585675,-73.4440502,1,turning_circle,,POINT (-73.4440502 41.4585675)
6679598252,41.4572014,-73.4437872,3,,,POINT (-73.4437872 41.4572014)
6679598257,41.4577811,-73.4437463,1,,,POINT (-73.4437463 41.4577811)
6679637096,41.4494076,-73.4379671,1,turning_circle,,POINT (-73.4379671 41.4494076)
6679637103,41.4507394,-73.4372155,3,,,POINT (-73.4372155 41.4507394)
6679705037,41.4456034,-73.4309479,1,,,POINT (-73.4309479 41.4456034)
6679743972,41.4609712,-73.4327756,3,,,POINT (-73.4327756 41.4609712)
7018493368,41.4147625,-73.4469127,3,,,POINT (-73.4469127 41.4147625)
7018493370,41.4104494,-73.4616889,3,,,POINT (-73.4616889 41.4104494)
7018493371,41.4287333,-73.4297229,3,,,POINT (-73.4297229 41.4287333)
7018495502,41.4497787,-73.4677033,3,,,POINT (-73.4677033 41.4497787)
7018495514,41.4487585,-73.4713828,1,,,POINT (-73.4713828 41.4487585)
7018495515,41.4510873,-73.4669637,3,,,POINT (-73.4669637 41.4510873)
7018495518,41.4544171,-73.467781,1,,,POINT (-73.467781 41.4544171)
7018495519,41.4538749,-73.4678852,1,,,POINT (-73.4678852 41.4538749)
7018504605,41.4182675,-73.4357909,3,,,POINT (-73.4357909 41.4182675)
